Company Name,Industry Type,Primary Office Location,Operating Locations,Job Openings,Total Reviews,Overall Rating,Highly Rated,Critically Rated
Asirvad Microfinance,NBFC ,Chennai,309.0,12,1.1k,3.8,"Promotions / Appraisal, Salary & Benefits",
TK Elevator,Industrial Machinery ,Pune,80.0,15,1.1k,3.8,,Promotions / Appraisal
Unicharm,FMCG ,Gurgaon,189.0,--,1.1k,4.0,Salary & Benefits,Promotions / Appraisal
Hikal,Pharma ,Bangalore,23.0,63,1.1k,3.8,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
GAIL,Oil & Gas ,New Delhi,102.0,--,1.1k,4.4,"Work Life Balance, Company Culture, Work Satisfaction",
Kirloskar Brothers,Industrial Machinery ,Pune,74.0,21,1.1k,3.8,Work Life Balance,"Promotions / Appraisal, Job Security"
Syngenta,Agriculture ,Pune,171.0,37,1.1k,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Sri Chaitanya Educational Institutions,Education & Training ,Hyderabad,103.0,2,1.1k,3.7,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
CALIBEHR,IT Services & Consulting ,Mumbai,183.0,10,1.1k,3.9,"Company Culture, Skill Development / Learning",Promotions / Appraisal
Siemens Gamesa Renewable Power Private Limited,Power ,Bangalore,70.0,97,1.1k,4.0,"Work Life Balance, Company Culture",Promotions / Appraisal
Air India Sats Airport Services,Aviation ,New Delhi,49.0,2,1.1k,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Nexa,Automobile ,New Delhi,213.0,--,1.1k,3.9,"Skill Development / Learning, Work Life Balance","Job Security, Promotions / Appraisal"
Adani Ports and SEZ,Ports & Shipping ,Mundra,62.0,--,1.1k,3.6,,"Promotions / Appraisal, Job Security, Company Culture"
Tube Investments of India,Engineering & Construction ,Chennai,64.0,13,1.1k,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits"
MAHLE ANAND Filter Systems,Auto Components ,Pune,39.0,--,1.1k,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Vedanta Aluminium,Metals & Mining ,Jharsuguda,46.0,--,1.1k,3.8,"Salary & Benefits, Job Security","Company Culture, Work Satisfaction, Promotions / Appraisal"
HPCL-Mittal Energy Limited,Petrochemicals ,Bathinda,31.0,--,1.1k,4.3,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Godrej Agrovet,Agriculture ,Mumbai,145.0,5,1k,3.9,"Company Culture, Job Security",Promotions / Appraisal
MG Motor,Automobile ,Vadodara,100.0,--,1k,3.8,,Promotions / Appraisal
Metropolis Healthcare,Healthcare ,Mumbai,102.0,--,1k,3.9,Skill Development / Learning,Promotions / Appraisal
1point1 Solutions,BPO ,Bangalore,19.0,87,1k,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Gmmco,Industrial Machinery ,Chennai,90.0,6,1k,4.0,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal
Bajaj Capital Insurance Broking Limited,Insurance ,New Delhi,140.0,--,1k,4.4,"Company Culture, Skill Development / Learning, Work Life Balance",
Power Grid Corporation of India,Power ,Gurgaon,234.0,--,1k,4.3,"Company Culture, Salary & Benefits, Work Life Balance",
Klm Axiva Finvest,NBFC ,Bangalore,159.0,7,1k,4.4,"Company Culture, Work Life Balance, Work Satisfaction",
Spencer's Retail,Retail ,Kolkata,64.0,2,1k,3.8,,Promotions / Appraisal
Pernod Ricard,Beverage ,Gurgaon,120.0,9,1k,3.5,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Job Security"
Zf Rane Automotive,Auto Components ,Chennai,51.0,--,1k,3.9,"Skill Development / Learning, Job Security",Promotions / Appraisal
Incheon Motors,Automobile ,Thrissur,16.0,5,1k,4.7,"Company Culture, Job Security, Skill Development / Learning",
Svatantra Microfin,NBFC ,Mumbai,322.0,2,1k,3.9,"Company Culture, Job Security, Skill Development / Learning",
Nippon Life India Asset Management,Financial Services ,Mumbai,189.0,95,1k,4.6,"Company Culture, Work Life Balance, Job Security",
TKIL,Industrial Machinery ,Pune,61.0,5,1k,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Kinara Capital,NBFC ,Bangalore,113.0,32,1k,4.2,"Company Culture, Work Life Balance, Salary & Benefits",
Dana Anand,Auto Components ,Pune,48.0,--,1k,4.0,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
Bharat Sanchar Nigam,Telecom ,Bangalore,240.0,--,1k,3.9,"Work Life Balance, Job Security, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
Knorr-Bremse,Auto Components ,Pune,31.0,1,1k,3.4,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Aarvi Encon,Recruitment ,Mumbai,129.0,--,1k,3.9,,"Promotions / Appraisal, Job Security"
Thermo Fisher Scientific,Biotechnology ,Bangalore,36.0,167,1k,3.7,Work Life Balance,Promotions / Appraisal
SYSKA LED Lights,Consumer Electronics & Appliances ,Pune,157.0,--,1k,2.9,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
TÜV NORD,"Testing, Inspection and Certification (TIC) ",Pune,83.0,19,1k,3.7,,Promotions / Appraisal
Hindustan Zinc,Metals & Mining ,Udaipur,37.0,--,1k,3.8,Salary & Benefits,"Company Culture, Work Life Balance, Promotions / Appraisal"
GlobalData,Analytics & KPO ,Hyderabad,23.0,88,1k,3.4,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Wheels,Auto Components ,Chennai,47.0,--,1k,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Ceasefire Industries,Industrial Machinery ,New Delhi,78.0,15,1k,3.1,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Aspire Systems,IT Services & Consulting ,Chennai,24.0,35,1k,3.8,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Sahara India Pariwar,Broadcasting ,Lucknow,249.0,--,1k,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
BirlaNu,Building Material ,Hyderabad,109.0,2,1k,3.9,Salary & Benefits,Promotions / Appraisal
Northcorp Software,IT Services & Consulting ,Gurgaon,8.0,4,1k,4.8,"Company Culture, Work Life Balance, Work Satisfaction",
Lakshmi Machine Works,Industrial Machinery ,Coimbatore,33.0,22,1k,3.8,Job Security,Promotions / Appraisal
Gharda Chemicals Limited,Agro Chemicals ,Mumbai,73.0,--,1k,3.9,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Amara Raja Group,Auto Components ,Tirupati,79.0,--,1k,4.1,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
iQor Global Services,BPO ,Noida,50.0,24,1k,3.3,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Netcracker Technology,IT Services & Consulting ,Hyderabad,13.0,4,1k,3.0,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Tata Capital Housing Finance,NBFC ,Mumbai,166.0,1,1k,4.0,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal
IIFL Home Finance,NBFC ,Gurgaon,254.0,--,1.1k,3.8,Work Life Balance,Promotions / Appraisal
Otis Elevator,Industrial Machinery ,Bangalore,72.0,89,1k,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Vistaar Finance,NBFC ,Bangalore,201.0,3,1k,4.0,"Salary & Benefits, Work Life Balance",
Temenos,Software Product ,Chennai,12.0,27,1k,3.2,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Allianz Technology,IT Services & Consulting ,Pune,15.0,9,1k,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
ValueMomentum,IT Services & Consulting ,Hyderabad,12.0,2,1k,3.2,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Uber,Internet ,Hyderabad,53.0,3,1k,4.2,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Vertiv,Electronics Manufacturing ,Pune,55.0,85,1k,3.9,"Job Security, Work Life Balance",Promotions / Appraisal
Crompton Greaves Consumer Electricals,Consumer Electronics & Appliances ,Mumbai,106.0,26,1k,3.7,Salary & Benefits,"Promotions / Appraisal, Company Culture, Work Satisfaction"
SitusAMC,Financial Services ,Bangalore,19.0,--,1k,3.3,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
Hire In Global,Recruitment ,Mumbai,55.0,--,1k,4.9,"Company Culture, Work Life Balance, Work Satisfaction",
TradeIndia (Infocom Network Private Limited),Internet ,New Delhi,43.0,22,998,3.3,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Fractal Analytics,Analytics & KPO ,Bangalore,19.0,120,997,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Lemon Tree Hotels,Hospitality ,New Delhi,79.0,--,996,4.0,"Company Culture, Job Security, Work Life Balance",
NBC Bearings,Auto Components ,Jaipur,30.0,7,996,3.9,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
GVPR Engineers,Engineering & Construction ,Hyderabad,93.0,17,992,3.7,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Encora,IT Services & Consulting ,Bangalore,20.0,34,995,3.4,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Hitachi Energy,Power ,Chennai,38.0,554,994,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Suzuki Motorcycle,Automobile ,Gurgaon,119.0,2,995,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
MakeMyTrip,Internet ,Gurgaon,47.0,13,993,3.5,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Westside,Retail ,Mumbai,107.0,--,990,3.8,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
AstraZeneca,Pharma ,Chennai,50.0,--,990,4.0,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal
ALLEN Career Institute,Education & Training ,Kota,72.0,21,990,3.8,Work Life Balance,Promotions / Appraisal
Perfetti Van Melle,,Gurgaon,160.0,14,988,4.2,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
IB Group,Food Processing ,Rajnandgaon,152.0,--,987,3.8,,"Promotions / Appraisal, Job Security"
JW Marriott,Hospitality ,Mumbai,44.0,--,985,4.2,"Job Security, Skill Development / Learning, Company Culture",
Shyam Steel Group,Iron & Steel ,Kolkata,83.0,8,984,3.5,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
eClinicalWorks,Software Product ,Mumbai,20.0,19,983,3.6,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Visionet Systems,IT Services & Consulting ,Bangalore,18.0,30,983,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
CarDekho Group,Internet ,Gurgaon,83.0,27,982,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Thomas Cook,Travel & Tourism ,Mumbai,82.0,--,982,4.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Colgate Palmolive,FMCG ,Mumbai,121.0,34,986,3.9,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Hinduja Housing Finance,NBFC ,New Delhi,210.0,33,980,3.7,,"Promotions / Appraisal, Company Culture"
Star Cement,Building Material ,Guwahati,80.0,1,978,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Mastek,IT Services & Consulting ,Mumbai,24.0,6,978,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Malabar Gold and Diamonds,Jewellery ,Hyderabad,128.0,48,978,4.0,"Job Security, Company Culture, Skill Development / Learning",
Atlas Copco,Industrial Machinery ,Pune,59.0,--,978,4.1,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
Pristyn Care,Internet ,Gurgaon,34.0,12,977,3.2,,"Work Life Balance, Job Security, Work Satisfaction"
Secure Meters,Electronics Manufacturing ,Udaipur,73.0,20,979,3.9,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Fortrea Development India Private Limited,Clinical Research ,Bangalore,12.0,24,977,3.9,"Company Culture, Work Life Balance",Promotions / Appraisal
QX Global Group,BPO ,Ahmedabad,21.0,39,977,3.0,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Comviva Technology,Software Product ,Gurgaon,19.0,151,974,2.9,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Bounteous x Accolite,IT Services & Consulting ,Bangalore,16.0,191,976,3.2,,"Promotions / Appraisal, Job Security, Company Culture"
United Breweries,Beverage ,Bangalore,106.0,9,977,3.3,,"Promotions / Appraisal, Job Security, Company Culture"
Hitachi Payment Services,FinTech ,Mumbai,86.0,--,976,3.6,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
SLMG Beverages,Beverage ,Lucknow,90.0,--,975,3.9,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Tata Cummins,Auto Components ,Jamshedpur,45.0,--,972,4.4,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Cult.fit,Fitness & Wellness ,Bangalore,42.0,156,971,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Syrma SGS Technologies,Electronics Manufacturing ,Chennai,24.0,5,971,4.0,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Altisource,Real Estate ,Bangalore,10.0,37,969,3.4,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Collins Aerospace,Defence & Aerospace ,Bangalore,12.0,19,969,3.8,"Work Life Balance, Job Security","Promotions / Appraisal, Work Satisfaction"
Petrofac,Oil & Gas ,Chennai,44.0,2,968,4.2,"Salary & Benefits, Company Culture, Work Life Balance",Job Security
Rebel Foods,Hospitality ,Mumbai,81.0,20,965,3.7,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
ALTEN,IT Services & Consulting ,Bangalore,24.0,15,966,3.6,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Job Security"
Unity Small Finance Bank,Banking ,Mumbai,146.0,30,999,3.6,,"Promotions / Appraisal, Job Security, Company Culture"
Nasser S. Al Hajri Corporation,Engineering & Construction ,Chennai,56.0,--,965,3.6,Job Security,"Company Culture, Promotions / Appraisal, Salary & Benefits"
Pizza Hut,Hospitality ,New Delhi,129.0,--,965,4.0,"Skill Development / Learning, Company Culture, Job Security",
Arohan Financial Services,NBFC ,Kolkata,231.0,12,965,3.9,Salary & Benefits,Promotions / Appraisal
Aparajitha Corporate Services,Legal ,Madurai,98.0,1,965,3.8,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
TechnipFMC,Engineering & Construction ,Hyderabad,44.0,42,964,3.9,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Everest Industries,Building Material ,Mumbai,98.0,11,963,3.8,Work Life Balance,Promotions / Appraisal
Kendriya Vidyalaya Sangathan,Education & Training ,New Delhi,233.0,--,962,4.3,"Work Life Balance, Skill Development / Learning, Company Culture","Promotions / Appraisal, Job Security"
Škoda Auto Volkswagen,Automobile ,Pune,48.0,5,963,3.9,"Work Life Balance, Company Culture",Promotions / Appraisal
Innodata India Private Limited,IT Services & Consulting ,Noida,24.0,31,961,3.6,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Amazon Web Services,IT Services & Consulting ,Bangalore,63.0,--,960,3.8,Salary & Benefits,"Job Security, Promotions / Appraisal, Work Satisfaction"
Xebia,IT Services & Consulting ,Gurgaon,23.0,21,960,3.1,,"Promotions / Appraisal, Job Security, Company Culture"
Mahindra Automotives,Automobile ,Pune,129.0,--,959,3.8,"Job Security, Skill Development / Learning",Promotions / Appraisal
Softenger,IT Services & Consulting ,Pune,32.0,5,958,4.0,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
VIP Industries,Retail ,Mumbai,95.0,15,958,3.7,,"Promotions / Appraisal, Job Security, Company Culture"
Hiranandani Financial Services,NBFC ,Mumbai,135.0,9,958,4.4,"Company Culture, Work Life Balance, Work Satisfaction",
C&S Electric,Electrical Equipment ,Noida,58.0,23,957,4.0,"Work Life Balance, Job Security",Promotions / Appraisal
Vaco Binary Semantics,IT Services & Consulting ,Gurgaon,49.0,29,958,3.2,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Lowe's,Retail ,Bangalore,10.0,43,953,4.1,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Natco Pharma,Pharma ,Hyderabad,65.0,1,954,4.0,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal
Episource,IT Services & Consulting ,Chennai,21.0,--,953,3.9,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Barclays Global Service Centre,IT Services & Consulting ,Pune,14.0,--,952,3.9,"Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning"
Mando Automotive,Auto Components ,Chennai,22.0,--,951,4.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
LOREAL,Beauty & Personal Care ,Mumbai,101.0,39,950,3.8,Salary & Benefits,Promotions / Appraisal
Napino Auto & Electronics,Auto Components ,Gurgaon,25.0,--,949,3.8,,Promotions / Appraisal
Capacit'e Infraprojects,Engineering & Construction ,Mumbai,36.0,16,949,3.7,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Merino Industries,Building Material ,New Delhi,80.0,20,948,3.8,Salary & Benefits,Promotions / Appraisal
Pricol,Auto Components ,Coimbatore,33.0,7,947,3.9,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal
Lumina Datamatics,IT Services & Consulting ,Mumbai,21.0,77,947,3.1,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Wonder Cement,Building Material ,Nimbahera,113.0,65,947,4.2,"Company Culture, Work Life Balance, Job Security",
MasterCard,FinTech ,Pune,15.0,449,944,3.9,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
Quantiphi Analytics Solutions Private Limited,IT Services & Consulting ,Bangalore,18.0,115,944,3.1,,"Job Security, Work Life Balance, Promotions / Appraisal"
Gannon Dunkerley & Co.,Engineering & Construction ,Kolkata,81.0,3,942,3.3,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
General Mills,Food Processing ,Mumbai,55.0,9,942,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Tiger Analytics,IT Services & Consulting ,Bangalore,18.0,49,943,3.7,,"Job Security, Promotions / Appraisal"
Jyothy Labs,FMCG ,Mumbai,194.0,16,943,4.1,"Salary & Benefits, Company Culture, Work Life Balance",
JSW Group,Iron & Steel ,Mumbai,95.0,1,941,3.8,Job Security,Promotions / Appraisal
Tikona Infinet,Telecom ,Mumbai,47.0,4,937,3.5,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Jubilant Pharmova,Pharma ,Noida,62.0,16,940,3.7,,Promotions / Appraisal
Siemens Energy,Power ,Pune,51.0,1,938,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Defence Research & Development Organisation,Defence & Aerospace ,Hyderabad,58.0,--,938,4.5,"Work Life Balance, Company Culture, Skill Development / Learning",
Financial Software & Systems,Software Product ,Chennai,34.0,8,936,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Yokohama Off-Highway Tires,Auto Components ,Bharuch,39.0,--,936,3.7,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
J B Chemicals And Pharmaceuticals,Pharma ,Mumbai,94.0,3,934,3.9,,Promotions / Appraisal
Salcomp Manufacturing,Electronics Manufacturing ,Chennai,28.0,12,933,4.0,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Aircel,Telecom ,New Delhi,116.0,--,931,4.4,"Company Culture, Work Life Balance, Work Satisfaction",
Hathway,Telecom ,Mumbai,58.0,11,931,3.3,,"Promotions / Appraisal, Work Satisfaction, Job Security"
FLSmidth,Industrial Machinery ,Chennai,25.0,15,930,3.5,Work Life Balance,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Shriram General Insurance,Insurance ,Jaipur,200.0,--,928,3.6,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Velocis Systems,IT Services & Consulting ,New Delhi,52.0,8,928,3.8,"Work Life Balance, Job Security",Promotions / Appraisal
KEI Industries,Electrical Equipment ,New Delhi,100.0,3,927,4.3,"Salary & Benefits, Job Security, Work Life Balance",
Timken,Industrial Machinery ,Jamshedpur,45.0,--,926,3.9,Work Life Balance,Promotions / Appraisal
Pramerica Life Insurance,Insurance ,Gurgaon,126.0,7,926,3.6,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Astral Adhesives,Chemicals ,Ahmedabad,155.0,--,923,3.9,Salary & Benefits,Promotions / Appraisal
ICCS,BPO ,Noida,32.0,13,927,3.1,,"Promotions / Appraisal, Job Security, Company Culture"
Amphenol Interconnect,Electrical Equipment ,Pune,19.0,7,923,4.3,"Work Life Balance, Company Culture, Job Security",
Guidehouse,Management Consulting ,Chennai,20.0,59,923,3.6,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Sundaram Clayton,Auto Components ,Chennai,30.0,2,924,3.9,"Skill Development / Learning, Salary & Benefits","Promotions / Appraisal, Job Security"
Sandhar Technologies,Auto Components ,Gurgaon,31.0,14,920,3.8,Job Security,Promotions / Appraisal
Technip Energies,Engineering & Construction ,Noida,40.0,37,918,4.1,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Signify,Consumer Electronics & Appliances ,Bangalore,83.0,34,918,3.5,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Marsh McLennan,Management Consulting ,Mumbai,26.0,3,918,3.9,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Reliance Power,Power ,Singrauli,42.0,2,916,4.1,"Job Security, Work Life Balance, Work Satisfaction",
Psp Projects,Engineering & Construction ,Ahmedabad,58.0,25,915,3.9,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
VeeTechnologies,IT Services & Consulting ,Bangalore,40.0,30,914,3.8,Job Security,Promotions / Appraisal
Jaro Education,EdTech ,Mumbai,24.0,20,916,3.2,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction"
Aristo Pharmaceuticals,Pharma ,Mumbai,107.0,7,913,3.9,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Adani Enterprises,Metals & Mining ,Ahmedabad,77.0,2,912,3.7,Job Security,"Promotions / Appraisal, Work Satisfaction, Company Culture"
SFO Technologies,Electronics Manufacturing ,Bangalore,18.0,58,912,3.4,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Amazon Sellers Services,Internet ,Bangalore,68.0,--,911,4.0,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
Naukri,Internet ,Noida,73.0,96,911,4.2,"Job Security, Company Culture, Work Life Balance",
National Payments Corporation of India,FinTech ,Mumbai,12.0,27,909,3.9,"Job Security, Skill Development / Learning, Company Culture",
Apotex Research,Pharma ,Bangalore,15.0,28,908,3.8,Work Life Balance,"Promotions / Appraisal, Job Security"
Bhanzu,EdTech ,Bangalore,15.0,4,905,3.8,,
Skipper,Industrial Machinery ,Kolkata,89.0,1,905,3.7,,"Promotions / Appraisal, Work Satisfaction"
Godfrey Phillips India,FMCG ,New Delhi,120.0,--,903,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
KMV Projects Limited,Engineering & Construction ,Hyderabad,70.0,--,905,4.2,"Salary & Benefits, Company Culture, Work Satisfaction",
Deepak Fertilisers and Petrochemicals,Chemicals ,Mumbai,59.0,20,903,4.1,"Job Security, Work Life Balance, Skill Development / Learning",
Test Yantra Software Solutions,IT Services & Consulting ,Bangalore,20.0,14,903,3.0,,"Promotions / Appraisal, Company Culture, Job Security"
Medhaj Techno Concept,Management Consulting ,Lucknow,153.0,1,903,4.0,"Work Life Balance, Company Culture, Work Satisfaction","Promotions / Appraisal, Job Security"
Netscribes,Analytics & KPO ,Kolkata,18.0,38,900,2.7,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Nityo Infotech,IT Services & Consulting ,Bangalore,32.0,40,903,3.3,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
GE Healthcare,Medical Equipment ,Bangalore,37.0,--,901,3.9,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Knight Frank,Real Estate ,Mumbai,51.0,6,903,4.0,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Bayer,Pharma ,Bangalore,115.0,--,899,4.0,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Tafe Motors & Tractors,Industrial Machinery ,Bhopal,72.0,--,899,3.9,"Company Culture, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Nirma,FMCG ,Bhavnagar,68.0,--,898,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Xceedance,IT Services & Consulting ,Gurgaon,15.0,3,896,3.6,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Experis IT,Recruitment ,Bangalore,36.0,--,898,3.0,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Neel Metal Products,Auto Components ,Gurgaon,38.0,--,897,4.1,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Bosch Chassis Systems,Auto Components ,Pune,25.0,--,898,4.1,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Volvo,Automobile ,Bangalore,39.0,8,897,4.0,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Egis  India Consulting Engineers,Engineering & Construction ,Gurgaon,112.0,11,897,4.2,"Work Life Balance, Company Culture, Work Satisfaction",
Aviva Life Insurance India,Insurance ,Gurgaon,122.0,9,897,3.5,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Volkswagen,Automobile ,Pune,104.0,--,893,4.1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
BDR Pharmaceuticals International,Pharma ,Vadodara,30.0,46,894,4.1,"Job Security, Company Culture, Work Satisfaction",
HomeLane,Architecture & Interior Design ,Bangalore,36.0,167,891,3.3,,"Job Security, Promotions / Appraisal, Work Life Balance"
AJIO,Internet ,Bangalore,201.0,--,893,3.6,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Navayuga Engineering Company,Engineering & Construction ,Hyderabad,74.0,9,894,3.8,,Promotions / Appraisal
Schlumberger,Oil & Gas ,Pune,37.0,46,890,3.8,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning"
OCS Group,Facility Management Services ,Mumbai,58.0,16,888,4.1,"Company Culture, Work Life Balance, Work Satisfaction",
Medha Servo Drives,Electrical Equipment ,Hyderabad,55.0,--,887,4.3,"Job Security, Skill Development / Learning, Company Culture",
Steag Energy Services,Power ,Jharsuguda,64.0,13,888,4.3,"Job Security, Work Life Balance, Skill Development / Learning",
BGR Energy Systems,Engineering & Construction ,Chennai,55.0,--,887,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
SKH Metals,Auto Components ,Gurgaon,27.0,2,886,4.0,"Company Culture, Work Life Balance, Skill Development / Learning",
Yashoda Hospitals,Healthcare ,Hyderabad,31.0,20,885,3.9,"Company Culture, Skill Development / Learning",Promotions / Appraisal
Vedanta Resources,Metals & Mining ,Jharsuguda,73.0,6,884,3.7,"Salary & Benefits, Job Security","Company Culture, Promotions / Appraisal, Work Life Balance"
Re Sustainability Limited,Waste Management ,Hyderabad,85.0,45,884,3.8,"Job Security, Work Life Balance",Promotions / Appraisal
Tata Chemicals,Chemicals ,Jamnagar,86.0,10,880,3.9,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Updater Services,Facility Management Services ,Chennai,100.0,6,879,3.7,,"Promotions / Appraisal, Job Security, Company Culture"
